disる	でぃする
あいあわれむ	あいあわれむ
あいうつ	あいうつ
あいきょうづく	あいきょうづく
あいことなる	あいことなる
あいしあう	あいしあう
あいしる	あいしる
あいし合う	あいしあう
あいし合う	愛し合う
あいす	あいす
あいす	あいする
あいす	愛す
あいすむ	あいすむ
あいたいす	あいたいす
あいつぐ	あいつぐ
あいつぐ	相次ぐ
あいてどる	あいてどる
あいてどる	相手取る
あいてらす	あいてらす
あいて取る	あいてどる
あいて取る	相手取る
あいととのう	あいととのう
あいとなる	あいとなる
あいともなう	あいともなう
あいなる	あいなる
あいはむ	あいはむ
あいまつ	相俟つ
あいよる	あいよる
あいわす	あいわす
あい俟つ	あいまつ
あい俟つ	相俟つ
あい変わる	あいかわる
あい寄る	あいよる
あい寄る	相寄る
あい手どる	あいてどる
あい手どる	相手取る
あい手取る	あいてどる
あい手取る	相手取る
あい打つ	あいうつ
あい打つ	相打つ
あい撃つ	あいうつ
あい撃つ	相撃つ
あい次ぐ	あいつぐ
あい次ぐ	相次ぐ
あい知る	あいしる
あい知る	相知る
あい継ぐ	あいつぐ
あい継ぐ	相継ぐ
あい食む	あいはむ
あい食む	相食む
あう	あう
あう	会う
あう	合う
あえぎ苦しむ	あえぎくるしむ
あえぐ	あえぐ
あえぐ	喘ぐ
あおぎ消す	あおぎけす
あおぎ返えす	あおぎかえす
あおぐ	あおぐ
あおぐ	仰ぐ
あおぐ	扇ぐ
あおずむ	あおずむ
あおのく	あおのく
あおばむ	あおばむ
あおむ	あおむ
あおむく	あおむく
あおむく	仰向く
あおり蹴る	あおりける
あおる	あおる
あおる	煽る
あお向く	あおむく
あお向く	仰向く
あかしくらす	あかしくらす
あかし暮らす	あかしくらす
あかし暮らす	明かし暮らす
あかす	あかす
あかす	明かす
あかづく	あかづく
あかばむ	あかばむ
あからむ	あからむ
あからむ	明らむ
あからむ	赤らむ
あかる	あかる
あかるむ	あかるむ
あかるむ	明るむ
あがく	あがく
あがなう	あがなう
あがりこむ	あがりこむ
あがり込む	あがりこむ
あがり込む	上がり込む
あがる	あがる
あがる	上がる
あがる	挙がる
あがる	揚がる
あきたる	あきたる
あきたる	飽き足る
あきなう	あきなう
あきなう	商う
あきめく	あきめく
あきめく	秋めく
あきれかえる	あきれかえる
あきれ入る	あきれいる
あきれ入る	呆れ入る
あきれ返る	あきれかえる
あきれ返る	呆れ返る
あき足る	あきたる
あき足る	飽き足る
あく	あく
あく	明く
あく	空く
あく	開く
あぐむ	あぐむ
あぐむ	倦む
あけはなす	あけはなす
あけはなつ	あけはなつ
あけはなつ	開け放つ
あけはらう	あけはらう
あけゆく	あけゆく
あけわたす	あけわたす
あけわたす	明け渡す
あけわたる	あけわたる
あけ払う	あけはらう
あけ払う	明け払う
あけ払う	開け払う
あけ放す	あけはなす
あけ放す	明け放す
あけ放す	開け放す
あけ放つ	あけはなつ
あけ放つ	明け放つ
あけ放つ	開け放つ
あけ渡す	あけわたす
あけ渡す	明け渡す
あけ渡る	あけわたる
あけ渡る	明け渡る
あけ行く	あけゆく
あけ行く	明け行く
あけ開く	あけひらく
あげつらう	あげつらう
あげつらふ	あげつらう
あさり付く	あさりつく
あさり回る	あさりまわる
あさり歩く	あさりあるく
あさる	あさる
あさる	漁る
あざけり笑う	あざけりわらう
あざけり笑う	嘲り笑う
あざける	あざける
あざける	嘲る
あざけ笑う	あざけわらう
あざなう	あざなう
あざむき偽る	あざむきいつわる
あざむく	あざむく
あざむく	欺く
あざわらう	あざわらう
あざわらう	あざ笑う
あざ嗤う	あざわらう
あざ笑う	あざわらう
あざ笑う	嘲笑う
あしらう	あしらう
あしらふ	あしらう
あじわう	あじわう
あじわう	味わう
あすばす	あそばす
あすぶ	あすぶ
あずかりしる	あずかりしる
あずかり知る	あずかりしる
あずかり知る	与り知る
あずかり聞く	あずかりきく
あずかる	あずかる
あずかる	あずける
あずかる	与る
あずかる	預かる
あせす	汗す
あせばむ	あせばむ
あせばむ	汗ばむ
あせり立つ	あせりたつ
あせる	あせる
あせる	焦る
あそばす	あそばす
あそびあかす	あそびあかす
あそびあるく	あそびあるく
あそびくらす	あそびくらす
あそびまわる	あそびまわる
あそび回る	あそびまわる
あそび回る	遊び回る
あそび明かす	あそびあかす
あそび明かす	遊び明かす
あそび暮す	あそびくらす
あそび暮す	遊び暮す
あそび暮らす	あそびくらす
あそび暮らす	遊び暮らす
あそび歩く	あそびあるく
あそび歩く	遊び歩く
あそぶ	あそぶ
あそぶ	遊ぶ
あたいす	値す
あたう	あたう
あたたまる	あたたまる
あたたまる	暖まる
あたたまる	温まる
あたりちらす	あたりちらす
あたり散らす	あたりちらす
あたり散らす	当たり散らす
あたり散らす	当り散らす
あたる	あたる
あたる	当たる
あだめく	あだめく
あっす	圧す
あったまる	あたたまる
あったまる	あったまる
あっため直す	あたためなおす
あつかう	あつかう
あつかう	扱う
あつまる	あつまる
あつまる	集まる
あつらえ直す	あつらえなおす
あてがう	あてがう
あてこする	あてこする
あてこむ	あてこむ
あてはまる	あてはまる
あてはまる	当て嵌まる
あて嵌まる	あてはまる
あて嵌まる	当て嵌まる
あて嵌る	あてはまる
あて嵌る	当て嵌まる
あて押す	あておす
あて擦る	あてこする
あて擦る	当て擦る
あて込む	あてこむ
あて込む	当て込む
あとう	あたう
あとじさる	あとじさる
あとずさる	あとずさる
あなどる	あなどる
あなどる	侮る
あばき出す	あばきだす
あばき出す	暴き出す
あばく	あばく
あばく	暴く
あばれまはる	あばれまわる
あばれまわる	あばれまわる
あばれ動く	あばれうごく
あばれ回る	あばれまわる
あばれ回る	暴れ回る
あばれ込む	あばれこむ
あばれ込む	暴れ込む
あびせ倒す	あびせたおす
あふ	あう
あふる	あふる
あふれかえる	あふれかえる
あふれだす	あふれだす
あふれ出す	あふれだす
あふれ出す	あふれ出す
あふれ出す	溢れ出す
あふれ咲く	あふれさく
あふれ返る	あふれかえる
あふれ返る	あふれ返る
あふれ返る	溢れ返る
あぶらぎる	あぶらぎる
あぶらぎる	脂ぎる
あぶりだす	あぶりだす
あぶりだす	焙り出す
あぶり出す	あぶりだす
あぶり出す	あぶり出す
あぶり出す	炙り出す
あぶり出す	焙り出す
あぶる	あぶる
あぶる	焙る
あまえ掛かる	あまえかかる
あまえ掛かる	甘え掛かる
あまがける	あまかける
あまくだる	あまくだる
あまくだる	天下る
あます	あます
あます	余す
あまやかす	あまやかす
あまやかす	甘やかす
あまる	あまる
あまる	余る
あま下る	あまくだる
あま下る	天下る
あみこむ	あみこむ
あみだす	あみだす
あみだす	編み出す
あみ上がる	あみあがる
あみ上がる	編み上がる
あみ出す	あみだす
あみ出す	編み出す
あみ出す	編出す
あみ込む	あみこむ
あみ込む	編み込む
あみ込む	編込む
あむ	あむ
あむ	編む
あやかる	あやかる
あやしむ	あやしむ
あやしむ	怪しむ
あやし楽しむ	あやしたのしむ
あやす	あやす
あやつる	あやつる
あやつる	操る
あやどる	あやどる
あやなす	あやなす
あやぶむ	あやぶむ
あやぶむ	危ぶむ
あやまつ	あやまつ
あやまつ	過つ
あやまり歩く	あやまりあるく
あやまる	あやまる
あやまる	誤る
あやまる	謝る
あゆみよる	あゆみよる
あゆみよる	歩み寄る
あゆみ出す	あゆみだす
あゆみ寄る	あゆみよる
あゆみ寄る	歩み寄る
あゆむ	あゆむ
あゆむ	歩む
あらいおとす	あらいおとす
あらいざらす	あらいざらす
あらいだす	あらいだす
あらいだす	洗い出す
あらいなおす	あらいなおす
あらいながす	あらいながす
あらいながす	洗い流す
あらい出す	あらいだす
あらい出す	洗い出す
あらい晒す	あらいざらす
あらい晒す	洗い晒す
あらい流す	あらいながす
あらい流す	洗い流す
あらい直す	あらいなおす
あらい直す	洗い直す
あらい落す	あらいおとす
あらい落す	洗い落す
あらい落とす	あらいおとす
あらい落とす	洗い落とす
あらい込む	あらいこむ
あらい込む	洗い込む
あらう	あらう
あらう	洗う
あらがう	あらがう
あらす	あらす
あらす	荒らす
あらそう	あらそう
あらそう	争う
あらたまる	あらたまる
あらたまる	改まる
あらだつ	あらだつ
あらっしゃる	あらっしゃる
あらはす	あらわす
あらふ	あらう
あらわす	あらわす
あらわす	現す
あらわす	著す
あらわす	表す
あら立つ	あらだつ
あら立つ	荒立つ
ありあう	ありあう
ありあまる	ありあまる
ありあまる	有り余る
ありあわす	ありあわす
ありがたがる	ありがたがる
ありつく	ありつく
あり付く	ありつく
あり付く	あり付く
あり付く	在り付く
あり付く	有り付く
あり余る	ありあまる
あり余る	あり余る
あり余る	有り余る
あり合う	ありあう
あり合う	在り合う
あり合う	有り合う
あり合わす	ありあわす
あり合わす	在り合わす
あり合わす	有り合わす
あり残る	ありのこる
ある	ある
ある	有る
あるきとおす	あるきとおす
あるきまわる	あるきまわる
あるき回る	あるきまわる
あるき回る	歩き回る
あるき通す	あるきとおす
あるき通す	歩き通す
あるく	あるく
あるく	歩く
あれくるう	あれくるう
あれくるう	荒れ狂う
あれだつ	あれだつ
